james_1
365.65,297.94,16:06:34.302 18/06/2025,10
313.81,305.35,16:06:34.381 18/06/2025,10
219.13,311.74,16:06:34.442 18/06/2025,10
132.86,321.0,16:06:34.509 18/06/2025,10
52.68,335.45,16:06:34.573 18/06/2025,10
49.46,342.85,16:06:34.641 18/06/2025,11
29.91,352.62,16:06:34.830 18/06/2025,11
55.73,377.12,16:06:35.204 18/06/2025,11
113.99,372.73,16:06:35.921 18/06/2025,12
171.05,357.83,16:06:36.784 18/06/2025,12
204.01,356.02,16:06:36.853 18/06/2025,12
246.29,351.58,16:06:36.932 18/06/2025,12
279.9,368.26,16:06:37.006 18/06/2025,12
319.17,369.31,16:06:37.280 18/06/2025,13
285.49,378.14,16:06:37.661 18/06/2025,13
257.14,379.36,16:06:37.723 18/06/2025,13
204.16,378.68,16:06:37.781 18/06/2025,13
183.66,374.37,16:06:37.838 18/06/2025,13
143.34,369.99,16:06:38.022 18/06/2025,13
126.29,373.82,16:06:38.079 18/06/2025,13
86.63,382.89,16:06:38.136 18/06/2025,13
44.86,395.78,16:06:38.195 18/06/2025,13
50.39,408.95,16:06:38.507 18/06/2025,14
84.12,411.38,16:06:38.870 18/06/2025,14
110.4,404.39,16:06:38.926 18/06/2025,14
140.75,394.13,16:06:39.108 18/06/2025,14
173.93,366.84,16:06:39.226 18/06/2025,14
183.17,390.59,16:06:39.726 18/06/2025,15
207.44,352.77,16:06:40.181 18/06/2025,15
237.53,320.06,16:06:40.646 18/06/2025,15
249.12,310.93,16:06:40.918 18/06/2025,16
212.67,291.37,16:06:41.328 18/06/2025,16
192.64,270.98,16:06:41.498 18/06/2025,16
178.58,260.32,16:06:41.555 18/06/2025,16
153.46,243.03,16:06:41.614 18/06/2025,16
134.65,236.97,16:06:41.732 18/06/2025,16
124.22,223.0,16:06:41.785 18/06/2025,16
92.45,195.04,16:06:41.839 18/06/2025,16
80.61,180.6,16:06:42.156 18/06/2025,17
148.79,177.5,16:06:42.701 18/06/2025,17
260.73,185.14,16:06:43.349 18/06/2025,18
303.0,229.95,16:06:44.553 18/06/2025,19
357.16,242.18,16:06:45.245 18/06/2025,19
391.36,246.17,16:06:45.368 18/06/2025,19
417.74,239.94,16:06:45.886 18/06/2025,20
397.83,245.92,16:06:45.942 18/06/2025,20
372.09,263.85,16:06:46.056 18/06/2025,20
344.34,280.7,16:06:46.355 18/06/2025,20
327.99,298.45,16:06:46.483 18/06/2025,20
308.04,316.8,16:06:46.540 18/06/2025,20
284.93,332.51,16:06:46.594 18/06/2025,20
290.21,334.2,16:06:47.049 18/06/2025,21
266.52,333.29,16:06:47.119 18/06/2025,21
351.56,331.03,16:06:47.236 18/06/2025,21
430.75,336.02,16:06:47.299 18/06/2025,21
503.13,346.93,16:06:47.359 18/06/2025,21
562.77,348.17,16:06:47.424 18/06/2025,21
617.48,348.1,16:06:47.482 18/06/2025,21
669.55,355.58,16:06:47.539 18/06/2025,21
692.04,356.7,16:06:47.598 18/06/2025,21
715.53,356.51,16:06:47.655 18/06/2025,21
750.65,347.86,16:06:47.714 18/06/2025,21
714.42,334.6,16:06:48.244 18/06/2025,22
691.57,327.79,16:06:48.377 18/06/2025,22
665.82,317.51,16:06:48.437 18/06/2025,22
632.35,287.03,16:06:48.613 18/06/2025,22
613.57,259.72,16:06:48.667 18/06/2025,22
579.14,256.45,16:06:49.407 18/06/2025,22
508.19,255.2,16:06:49.467 18/06/2025,23
444.45,262.46,16:06:49.525 18/06/2025,23
366.97,284.01,16:06:49.600 18/06/2025,23
305.85,314.42,16:06:49.659 18/06/2025,23
234.92,341.78,16:06:49.709 18/06/2025,23
